Gss year for this respondent                       ;Fathers highest degree;Mothers highest degree;Respondents sex;Race of respondent;Number of persons in household;Respondents income;Total family income;Vote obama or mccain;Vote obama or romney;Rs highest degree;Age of respondent;Number of children;Respondent id number;Number of hours worked last week;Rs occupational prestige score  (1970);Govt or private employee;Travel time to work;Marital status;Fathers census occupation code (1970);Mothers census occupation code (1980);Number of brothers and sisters;Ballot used for interview
2018;High school;High school;Male;White;5;Not applicable;Not applicable;Not applicable;Romney;Junior college;43;0;1;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot a
2018;Lt high school;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;74;3;2;Not applicable;0;Private;Not applicable;Separated;Not applicable;Not applicable;4;Ballot c
2018;High school;Bachelor;Male;White;4;Not applicable;Not applicable;Not applicable;Romney;Bachelor;42;2;3;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;63;2;4;40;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
2018;High school;High school;Male;Black;2;Not applicable;Not applicable;Not applicable;Romney;Graduate;71;0;5;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot c
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;67;2;6;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot a
2018;Not applicable;Lt high school;Female;Black;2;Not applicable;Not applicable;Not applicable;Obama;High school;59;6;7;35;0;Government;Not applicable;Divorced;Not applicable;Not applicable;7;Ballot c
2018;Not applicable;High school;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;43;0;8;89;0;Private;Not applicable;Never married;Not applicable;Not applicable;2;Ballot c
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Lt high school;62;4;9;40;0;Private;Not applicable;Widowed;Not applicable;Not applicable;4;Ballot b
2018;Lt high school;Graduate;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;55;2;10;40;0;Private;Not applicable;Married;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Graduate;59;2;11;40;0;Private;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot a
2018;Not applicable;Junior college;Female;Other;4;Not applicable;Not applicable;Not applicable;Obama;High school;34;3;12;20;0;Private;Not applicable;Separated;Not applicable;Not applicable;2;Ballot b
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;61;2;13;Not applicable;0;Government;Not applicable;Divorced;Not applicable;Not applicable;9;Ballot a
2018;Bachelor;Lt high school;Male;Black;3;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;44;2;14;40;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;High school;Bachelor;Female;Black;3;Not applicable;Not applicable;Not applicable;Obama;High school;41;2;15;Not applicable;0;Private;Not applicable;Never married;Not applicable;Not applicable;4;Ballot b
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;75;4;16;19;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot a
2018;Junior college;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;55;0;17;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Bachelor;Bachelor;Female;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Bachelor;30;2;18;Not applicable;0;Not applicable;Not applicable;Married;Not applicable;Not applicable;3;Ballot a
2018;High school;Graduate;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;Graduate;40;2;19;40;0;Government;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot c
2018;Bachelor;Bachelor;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;30;0;20;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;Graduate;Female;White;3;Not applicable;Not applicable;Not applicable;Not applicable;High school;34;1;21;42;0;Government;Not applicable;Married;Not applicable;Not applicable;3;Ballot a
2018;High school;High school;Female;Other;3;Not applicable;Not applicable;Not applicable;Not applicable;Junior college;29;0;22;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;6;Ballot c
2018;Bachelor;Bachelor;Female;White;3;Not applicable;Not applicable;Not applicable;Obama;Junior college;40;1;23;32;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot b
2018;Graduate;Graduate;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;High school;37;0;24;50;0;Private;Not applicable;Never married;Not applicable;Not applicable;0;Ballot a
2018;Bachelor;Bachelor;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;56;3;25;15;0;Private;Not applicable;Married;Not applicable;Not applicable;11;Ballot a
2018;Lt high school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;No answer;Lt high school;82;2;26;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot c
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;68;3;27;33;0;Private;Not applicable;Divorced;Not applicable;Not applicable;1;Ballot a
2018;Lt high school;High school;Female;Black;2;Not applicable;Not applicable;Not applicable;Not applicable;Lt high school;42;5;28;Not applicable;0;Not applicable;Not applicable;Never married;Not applicable;Not applicable;8;Ballot c
2018;High school;High school;Female;White;4;Not applicable;Not applicable;Not applicable;Don't know;High school;40;3;29;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;2;Ballot b
2018;Bachelor;Graduate;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;High school;20;0;30;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;High school;74;2;31;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Graduate;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Obama;Lt high school;89 or older;7;32;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;6;Ballot c
2018;High school;High school;Female;White;2;Not applicable;Not applicable;Not applicable;Romney;Bachelor;60;2;33;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot b
2018;Not applicable;Bachelor;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Bachelor;56;0;34;46;0;Private;Not applicable;Divorced;Not applicable;Not applicable;4;Ballot a
2018;Lt high school;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Lt high school;55;3;35;16;0;Don't know;Not applicable;Divorced;Not applicable;Not applicable;8;Ballot b
2018;High school;High school;Male;White;2;Not applicable;Not applicable;Not applicable;Romney;Graduate;65;5;36;40;0;Private;Not applicable;Married;Not applicable;Not applicable;4;Ballot c
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;71;1;37;20;0;Private;Not applicable;Widowed;Not applicable;Not applicable;1;Ballot a
2018;Bachelor;Graduate;Male;White;1;Not applicable;Not applicable;Not applicable;Obama;Graduate;34;0;38;45;0;Government;Not applicable;Never married;Not applicable;Not applicable;3;Ballot c
2018;High school;Lt high school;Male;White;1;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;45;1;39;50;0;Private;Not applicable;Married;Not applicable;Not applicable;5;Ballot b
2018;No answer;No answer;Female;Black;1;Not applicable;Not applicable;Not applicable;No answer;High school;50;Dk na;40;No answer;0;No answer;Not applicable;No answer;Not applicable;Not applicable;No answer;Ballot a
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;65;2;41;30;0;Private;Not applicable;Divorced;Not applicable;Not applicable;8;Ballot b
2018;Not applicable;Lt high school;Male;White;2;Not applicable;Not applicable;Not applicable;Not applicable;High school;52;0;42;40;0;Private;Not applicable;Never married;Not applicable;Not applicable;1;Ballot a
2018;High school;High school;Female;White;1;Not applicable;Not applicable;Not applicable;Obama;High school;62;1;43;Not applicable;0;Private;Not applicable;Widowed;Not applicable;Not applicable;4;Ballot b
2018;Graduate;Bachelor;Male;Other;2;Not applicable;Not applicable;Not applicable;Obama;Graduate;60;0;44;Not applicable;0;Private;Not applicable;Married;Not applicable;Not applicable;1;Ballot c
2018;Not applicable;Lt high school;Female;White;2;Not applicable;Not applicable;Not applicable;Obama;Bachelor;62;2;45;Not applicable;0;Private;Not applicable;Divorced;Not applicable;Not applicable;3;Ballot c
2018;Lt high school;Lt high school;Female;White;1;Not applicable;Not applicable;Not applicable;Not applicable;High school;46;3;46;25;0;Private;Not applicable;Widowed;Not applicable;Not applicable;5;Ballot b
2018;Bachelor;Bachelor;Male;White;4;Not applicable;Not applicable;Not applicable;Not applicable;Graduate;40;2;47;20;0;Private;Not applicable;Married;Not applicable;Not applicable;3;Ballot b
